Game Id	Game Name	Category	Provider Name
150666	Speed Auto Roulette	Live Roulette	MAC88
150667	Turbo Auto Roulette	Live Roulette	MAC88
150668	Unique Teenpatti	Live	MAC88
150669	Poison Teenpatti 20 20	Live	MAC88
150899	Mini MAC88 Lobby	Mini Games	MAC88
150900	Mini Aviator	Mini Games	MAC88
150901	Mini JetX	Mini Games	MAC88
150902	Mini Dice	Mini Games	MAC88
150903	Mini Limbo	Mini Games	MAC88
150904	Mini Rock Paper Scissors	Mini Games	MAC88
150905	Mini Fortune Wheel	Mini Games	MAC88
150906	Mini Coin Flip	Mini Games	MAC88
150907	Mini Crash X	Mini Games	MAC88
150908	Mini Xroulette	Mini Games	MAC88
151003	VR Lucky 7	Virtual	MAC88
151004	VR Trio	Virtual	MAC88
151005	VR 20-20 DTL	Virtual	MAC88
151006	VR Mulfis Teenpatti	Virtual	MAC88
151007	VR Bollywood Casino	Virtual	MAC88
151008	VR Amar Akbar Anthony	Virtual	MAC88
151009	VR Dragon Tiger	Virtual	MAC88
151010	VR Casino Meter	Virtual	MAC88
151011	VR 20-20 Teenpatti	Virtual	MAC88
151012	VR 32 Cards	Virtual	MAC88
151014	VR Andar Bahar	Virtual	MAC88
151015	VR 2 Card TP	Virtual	MAC88
151016	VR Queen Race	Virtual	MAC88
151017	VR Poker	Virtual	MAC88
151018	VR Race T20	Virtual	MAC88
151019	VR Auto Roulette	Virtual	MAC88
151020	VR High low	Virtual	MAC88
151021	VR Worli Matka	Virtual	MAC88
151022	VR 29 card bacarrat	Virtual	MAC88
151026	Lankesh	Virtual	MAC88
151027	Aviator X	Virtual	MAC88
151054	WINGO	Virtual	MAC88
151055	WINGO3	Virtual	MAC88
151056	WINGO5	Virtual	MAC88
151057	WINGO10	Virtual	MAC88
151058	5D Lottery 1	Virtual	MAC88
151059	5D Lottery 3	Virtual	MAC88
151060	5D Lottery 5	Virtual	MAC88
151061	5D Lottery 10	Virtual	MAC88
151062	K3 Lottery 1	Virtual	MAC88
151063	K3 Lottery 3	Virtual	MAC88
151064	K3 Lottery 5	Virtual	MAC88
151065	K3 Lottery 10	Virtual	MAC88
151067	AviatorX2	Crash Games	MAC88
151068	Hi Lo VR	Virtual	MAC88
151069	Center Card VR	Virtual	MAC88
151071	AK47 VR	Virtual	MAC88
151072	Crash X	Crash Games	MAC88
151073	Limbo	Slot Games	MAC88
151074	Dice	Slot Games	MAC88
151075	Mines	Slot Games	MAC88
151076	Diamonds	Slot Games	MAC88
151077	Plinko	Virtual	MAC88
151078	Lucky 5	Virtual	MAC88
151079	Bolly Kiss	Virtual	MAC88
151080	Vortex	Slot Games	MAC88
151081	Lucky 15	Virtual	MAC88
151082	X Roulette	Slot Games	MAC88
151083	Ball by Ball VR	Virtual	MAC88
151084	Pushpa Rani	Crash Games	MAC88
151085	Hi Lo	Slot Games	MAC88
151086	Kitex	Crash Games	MAC88
151087	Jet XT	Crash Games	MAC88
151088	5 Boys	Virtual	MAC88
151089	Kancha	Crash Games	MAC88
151090	LanternX	Crash Games	MAC88
151091	FireworkX	Crash Games	MAC88
151095	Rock Paper Scissors	Slot Games	MAC88
151098	Sky fall	Crash Games	MAC88
151099	Trade88 RNG	Casual Games	MAC88
151100	Coin Flip	Casual Games	MAC88
151101	Fortune Wheel	Casual Games	MAC88
151102	Chicken Road Cross 2	Slot Games	MAC88
151108	Trade88 EURUSD	Casual Games	MAC88
151109	Trade88 USDJPY	Casual Games	MAC88
151110	Trade88 GBPUSD	Casual Games	MAC88
151111	Trade88 USDCAD	Casual Games	MAC88
151114	Trade88 ETHUSD	Casual Games	MAC88
151116	Trade88 BNBUSD	Casual Games	MAC88
151117	Trade88 BTCUSD	Casual Games	MAC88
151118	Trade88 LTCUSD	Casual Games	MAC88
151119	Trade88 GOLD	Casual Games	MAC88
151120	Trade88 SILVER	Casual Games	MAC88
151121	Trade88 OIL	Casual Games	MAC88
151122	Trade88 NATURAL GAS	Casual Games	MAC88
151132	Chicken Road Cross	Crash Games	MAC88
151133	Jhandi Munda	Virtual	MAC88
151151	Color Game	Color Game	MAC88
151152	Color Game	Color Game	MAC88
151154	Race Track	Virtual	MAC88
151155	Stock Matka	Virtual	MAC88
151156	Pick3 1min	Virtual	MAC88
151157	Pick3 3min	Virtual	MAC88
151162	Pump	Virtual	MAC88
151163	Dragon Tower	Virtual	MAC88
151164	Packs	Virtual	MAC88
151165	Naughty Button	Virtual	MAC88
151166	Jalwa Color Game	Virtual	MAC88
151167	Jalwa Color Game 3	Virtual	MAC88
151168	Jalwa Color Game 5	Virtual	MAC88
151169	Jalwa Color Game 10	Virtual	MAC88
151170	Snakes	Slot Games	MAC88
151174	CRASH MAN	Virtual	MAC88
151175	Plane Crash	Crash Games	MAC88
200138	Super Sic Bo	Live Popular	DC
200139	Dragon Tiger	Live Popular	DC
200140	Speed Baccarat A	Live Baccarat	DC
200141	Speed Baccarat B	Live Baccarat	DC
200143	Speed Baccarat D	Live Baccarat	DC
200144	Speed Baccarat E	Live Baccarat	DC
200145	Speed Baccarat F	Live Baccarat	DC
200146	Speed Baccarat G	Live Baccarat	DC
200147	Speed Baccarat H	Live Baccarat	DC
200148	Speed Baccarat I	Live Baccarat	DC
200150	No Commission Baccarat	Live Baccarat	DC
200151	Baccarat A	Live Baccarat	DC
200152	Baccarat B	Live Baccarat	DC
200153	Baccarat C	Live Baccarat	DC
200154	Baccarat Squeeze	Live Baccarat	DC
200155	Baccarat Control Squeeze	Live Baccarat	DC
200156	Salon Prive Baccarat A	Live Baccarat	DC
200157	Blackjack A	Live Blackjack	DC
200158	Blackjack B	Live Blackjack	DC
200159	Free Bet Blackjack	Live Blackjack	DC
200160	Infinite Blackjack	Live Blackjack	DC
200161	Blackjack Party	Live Blackjack	DC
200162	Blackjack C	Live Blackjack	DC
200163	Blackjack D	Live Blackjack	DC
200164	Blackjack Silver A	Live Blackjack	DC
200165	Blackjack Silver B	Live Blackjack	DC
200166	Blackjack Silver C	Live Blackjack	DC
200167	Blackjack Silver D	Live Blackjack	DC
200168	Blackjack Silver E	Live Blackjack	DC
200169	Blackjack Silver F	Live Blackjack	DC
200170	Blackjack Silver G	Live Blackjack	DC
200171	Blackjack VIP A	Live Blackjack	DC
200172	Blackjack VIP B	Live Blackjack	DC
200173	Blackjack VIP C	Live Blackjack	DC
200174	Blackjack VIP D	Live Blackjack	DC
200175	Blackjack VIP E	Live Blackjack	DC
200176	Blackjack VIP G	Live Blackjack	DC
200177	Blackjack VIP H	Live Blackjack	DC
200178	Blackjack VIP I	Live Blackjack	DC
200179	Blackjack VIP L	Live Blackjack	DC
200180	Blackjack VIP M	Live Blackjack	DC
200181	Blackjack VIP O	Live Blackjack	DC
200182	Blackjack VIP P	Live Blackjack	DC
200183	Blackjack VIP R	Live Blackjack	DC
200184	Blackjack VIP S	Live Blackjack	DC
200185	Blackjack VIP T	Live Blackjack	DC
200186	Blackjack Platinum VIP	Live Blackjack	DC
200187	Blackjack Fortune VIP	Live Blackjack	DC
200188	Blackjack Grand VIP	Live Blackjack	DC
200189	Blackjack Diamond VIP	Live Blackjack	DC
200190	Salon Prive Blackjack A	Live Blackjack	DC
200191	Salon Prive Blackjack С	Live Blackjack	DC
200192	Roulette	Live Roulette	DC
200193	Immersive Roulette	Live Roulette	DC
200194	Auto-Roulette	Live Roulette	DC
200195	Speed Roulette	Live Roulette	DC
200197	French Roulette Gold	Live Roulette	DC
200198	American Roulette	Live Roulette	DC
200199	Double Ball Roulette	Live Roulette	DC
200200	Speed Auto Roulette	Live Roulette	DC
200201	Auto-Roulette VIP	Live Roulette	DC
